Date,Open,High,Low,Close,Adj Close,Volume
2018-04-24,77.970596,89.665802,77.331200,84.837097,84.837097,148078000
2018-04-25,84.201599,84.965897,68.261497,70.911499,70.911499,89533400
2018-04-26,71.386703,79.307503,69.201897,79.164803,79.164803,49274200
2018-04-27,79.253098,79.253098,73.139503,73.411400,73.411400,31251900
2018-04-28,73.400101,77.719200,73.111099,77.142403,77.142403,24300200
2018-04-29,77.839401,81.239098,74.113998,78.321800,78.321800,47669300
2018-04-30,78.670700,79.025902,73.029198,73.253700,73.253700,24958700
2018-05-01,73.284698,73.433601,69.170700,71.702797,71.702797,20320400
2018-05-02,71.647903,76.364601,70.737396,75.823898,75.823898,33903200
2018-05-03,76.011902,77.482201,73.897903,76.939102,76.939102,38523900
2018-05-04,76.923798,77.207397,73.897903,75.060204,75.060204,26634700
2018-05-05,74.987297,81.575500,74.987297,80.418701,80.418701,61619100
2018-05-06,80.532402,83.795898,75.053200,77.789101,77.789101,67628600
2018-05-07,77.720299,77.845596,71.617302,73.371399,73.371399,26749600
2018-05-08,73.766800,75.376900,70.173103,71.697701,71.697701,24173700
2018-05-09,71.620796,71.620796,66.395897,70.048798,70.048798,24826900
2018-05-10,70.372398,70.962502,64.753403,64.753403,64.753403,21005700
2018-05-11,64.648804,65.401199,55.320999,56.896301,56.896301,34785000
2018-05-12,56.843899,59.243000,53.502102,57.088902,57.088902,22741400
2018-05-13,57.368900,60.347301,55.999100,59.808201,59.808201,16482100
2018-05-14,59.792099,60.265400,55.913898,58.494801,58.494801,22368900
2018-05-15,58.437500,64.872002,57.535599,58.417400,58.417400,34357600
2018-05-16,58.330799,60.346100,54.898602,60.346100,60.346100,21224900
2018-05-17,59.798500,59.798500,52.785198,53.272202,53.272202,21261100
2018-05-18,53.256599,54.231800,51.953800,54.210499,54.210499,20822400
2018-05-19,54.236401,54.286301,52.003300,53.129398,53.129398,13166900
2018-05-20,53.171299,56.569302,53.066502,55.909500,55.909500,14230500
2018-05-21,56.036598,56.076099,53.423199,53.866299,53.866299,12601400
2018-05-22,53.922798,53.948601,50.639198,50.639198,50.639198,11871600
2018-05-23,50.610401,50.610401,44.689899,45.376099,45.376099,16724500
2018-05-24,45.350201,47.624901,44.330200,47.048698,47.048698,15457600
2018-05-25,46.987499,47.256599,44.632099,45.228298,45.228298,10904200
2018-05-26,45.242500,46.001598,44.403900,44.437698,44.437698,10607800
2018-05-27,44.460602,44.520000,43.954300,44.331200,44.331200,10054500
2018-05-28,44.320099,44.763100,40.488701,40.549801,40.549801,11881700
2018-05-29,40.477299,44.056999,40.275799,43.299900,43.299900,14634600
2018-05-30,43.285500,44.754700,41.505699,42.345501,42.345501,11323700
2018-05-31,42.136600,45.412201,41.543301,44.362999,44.362999,16443900
2018-06-01,44.330601,44.804798,42.779999,43.896599,43.896599,13487000
2018-06-02,43.848801,45.714001,43.429699,45.345798,45.345798,13231300
2018-06-03,45.381802,47.724400,44.897598,46.487099,46.487099,16811300
2018-06-04,46.850201,47.349300,43.292198,44.211300,44.211300,17414900
2018-06-05,44.306198,46.009499,43.648701,45.677399,45.677399,14410700
2018-06-06,45.704498,45.817600,44.168499,44.944302,44.944302,13529300
2018-06-07,44.985500,45.796299,44.850601,44.978699,44.978699,11735500
2018-06-08,45.014000,45.038601,43.358200,43.792801,43.792801,14026800
2018-06-09,43.902000,44.230099,43.333900,43.333900,43.333900,11494000
2018-06-10,43.605301,43.605301,35.626499,36.319500,36.319500,18470500
2018-06-11,36.307701,37.444099,35.528198,37.209900,37.209900,12494400
2018-06-12,37.218399,38.337799,34.310299,34.689098,34.689098,14100300
2018-06-13,34.653099,34.767700,31.366699,32.741199,32.741199,12752500
2018-06-14,32.673302,35.267601,32.032902,34.503300,34.503300,14021800
2018-06-15,34.468498,34.515598,32.309700,32.416199,32.416199,12128900
2018-06-16,32.359901,33.208199,32.012501,32.625999,32.625999,10215900
2018-06-17,32.675598,33.396900,31.840799,31.955799,31.955799,9034540
2018-06-18,32.032700,33.299198,31.497400,32.195900,32.195900,14186100
2018-06-19,32.249500,33.721199,31.970699,33.233898,33.233898,10952800
2018-06-20,33.212200,33.391399,31.411100,31.757200,31.757200,12899000
2018-06-21,31.747499,32.772301,31.163500,31.735300,31.735300,11528700
2018-06-22,31.628700,31.779900,25.567301,26.322399,26.322399,12549900
2018-06-23,26.310301,26.777000,25.106800,25.774000,25.774000,9861810
2018-06-24,25.742701,25.809000,22.381001,24.037100,24.037100,12391100
2018-06-25,24.012199,25.732800,23.950899,25.689899,25.689899,8861650
2018-06-26,25.699200,26.183300,24.361900,24.402100,24.402100,9377090
2018-06-27,24.400400,24.809900,23.895000,24.713301,24.713301,8210370
2018-06-28,24.743401,24.833700,23.300100,23.404301,23.404301,9298970
2018-06-29,23.417000,24.639500,23.103500,24.389400,24.389400,9678440
2018-06-30,24.372400,26.546200,24.350599,26.305000,26.305000,12016800
2018-07-01,26.343500,27.160101,25.683100,26.968599,26.968599,12607800
2018-07-02,26.958300,30.143999,26.609200,29.337700,29.337700,16719900
2018-07-03,29.228100,31.068100,28.318001,28.763201,28.763201,13432500
2018-07-04,28.756001,30.606100,27.866501,29.690800,29.690800,12865000
